Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,85+ years,85+,12,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,15-24 years,15-24,26,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,25-34 years,25-34,81,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,35-44 years,35-44,115,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,45-54 years,45-54,71,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,55-64 years,55-64,18,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,75-84 years,75-84,12,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,15-24 years,15-24,21,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,25-34 years,25-34,82,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,35-44 years,35-44,123,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,45-54 years,45-54,87,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,55-64 years,55-64,18,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,75-84 years,75-84,14,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,15-24 years,15-24,22,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,25-34 years,25-34,83,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,35-44 years,35-44,151,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,45-54 years,45-54,74,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,55-64 years,55-64,15,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,65-74 years,65-74,13,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,1-4 years,1-4,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,15-24 years,15-24,27,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,25-34 years,25-34,65,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,35-44 years,35-44,121,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,45-54 years,45-54,71,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,75-84 years,75-84,11,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,15-24 years,15-24,25,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,25-34 years,25-34,59,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,35-44 years,35-44,115,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,45-54 years,45-54,68,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,55-64 years,55-64,14,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,15-24 years,15-24,23,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,25-34 years,25-34,58,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,35-44 years,35-44,118,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,45-54 years,45-54,66,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,55-64 years,55-64,13,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,15-24 years,15-24,31,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,25-34 years,25-34,54,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,35-44 years,35-44,115,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,45-54 years,45-54,48,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,55-64 years,55-64,11,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,65-74 years,65-74,10,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,15-24 years,15-24,31,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,25-34 years,25-34,55,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,35-44 years,35-44,124,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,45-54 years,45-54,68,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,55-64 years,55-64,16,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,75-84 years,75-84,12,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,15-24 years,15-24,25,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,25-34 years,25-34,71,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,35-44 years,35-44,131,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,45-54 years,45-54,91,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,55-64 years,55-64,21,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,75-84 years,75-84,11,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,< 1 year,1,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,5-14 years,5-14,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,15-24 years,15-24,28,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,25-34 years,25-34,69,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,35-44 years,35-44,134,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,45-54 years,45-54,71,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,55-64 years,55-64,15,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,15-24 years,15-24,36,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,25-34 years,25-34,70,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,35-44 years,35-44,124,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,45-54 years,45-54,92,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,55-64 years,55-64,17,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,75-84 years,75-84,10,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,15-24 years,15-24,32,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,25-34 years,25-34,65,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,35-44 years,35-44,135,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,45-54 years,45-54,71,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,55-64 years,55-64,13,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,15-24 years,15-24,33,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,25-34 years,25-34,72,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,35-44 years,35-44,137,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,45-54 years,45-54,82,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,55-64 years,55-64,21,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,Not Stated,NS,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,< 1 year,1,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,1-4 years,1-4,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,5-14 years,5-14,0,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,15-24 years,15-24,28,Not Applicable,Not Applicable
