Census Region Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Region,Age Groups
CENS-R1,1999/01,F,1,Suppressed,1999,Census Region 1: Northeast,< 1 year
CENS-R1,2000/07,F,1,Suppressed,2000,Census Region 1: Northeast,< 1 year
CENS-R1,2001/08,F,1,Suppressed,2001,Census Region 1: Northeast,< 1 year
CENS-R1,2002/04,F,1,Suppressed,2002,Census Region 1: Northeast,< 1 year
CENS-R1,2003/03,F,1,Suppressed,2003,Census Region 1: Northeast,< 1 year
CENS-R1,2003/11,F,1,Suppressed,2003,Census Region 1: Northeast,< 1 year
CENS-R1,2004/11,F,1,Suppressed,2004,Census Region 1: Northeast,< 1 year
CENS-R1,2005/04,F,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2005/08,F,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2005/12,F,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2006/01,F,1,Suppressed,2006,Census Region 1: Northeast,< 1 year
CENS-R1,2006/12,F,1,Suppressed,2006,Census Region 1: Northeast,< 1 year
CENS-R1,2007/04,F,1,Suppressed,2007,Census Region 1: Northeast,< 1 year
CENS-R1,2007/08,F,1,Suppressed,2007,Census Region 1: Northeast,< 1 year
CENS-R1,2008/04,F,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2008/07,F,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2008/08,F,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2009/06,F,1,Suppressed,2009,Census Region 1: Northeast,< 1 year
CENS-R1,2009/12,F,1,Suppressed,2009,Census Region 1: Northeast,< 1 year
CENS-R1,2010/11,F,1,Suppressed,2010,Census Region 1: Northeast,< 1 year
CENS-R1,1999/08,F,1-4,Suppressed,1999,Census Region 1: Northeast,1-4 years
CENS-R1,2001/02,F,1-4,Suppressed,2001,Census Region 1: Northeast,1-4 years
CENS-R1,2002/03,F,1-4,Suppressed,2002,Census Region 1: Northeast,1-4 years
CENS-R1,2003/06,F,1-4,Suppressed,2003,Census Region 1: Northeast,1-4 years
CENS-R1,2004/01,F,1-4,Suppressed,2004,Census Region 1: Northeast,1-4 years
CENS-R1,2006/01,F,1-4,Suppressed,2006,Census Region 1: Northeast,1-4 years
CENS-R1,2006/04,F,1-4,Suppressed,2006,Census Region 1: Northeast,1-4 years
CENS-R1,2007/01,F,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2007/02,F,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2007/11,F,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2008/01,F,1-4,Suppressed,2008,Census Region 1: Northeast,1-4 years
CENS-R1,2008/03,F,1-4,Suppressed,2008,Census Region 1: Northeast,1-4 years
CENS-R1,2009/01,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/04,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/05,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/07,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/10,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2010/04,F,1-4,Suppressed,2010,Census Region 1: Northeast,1-4 years
CENS-R1,2010/11,F,1-4,Suppressed,2010,Census Region 1: Northeast,1-4 years
CENS-R1,1999/01,F,5-14,Suppressed,1999,Census Region 1: Northeast,5-14 years
CENS-R1,2000/02,F,5-14,Suppressed,2000,Census Region 1: Northeast,5-14 years
CENS-R1,2000/08,F,5-14,Suppressed,2000,Census Region 1: Northeast,5-14 years
CENS-R1,2000/10,F,5-14,Suppressed,2000,Census Region 1: Northeast,5-14 years
CENS-R1,2001/12,F,5-14,Suppressed,2001,Census Region 1: Northeast,5-14 years
CENS-R1,2002/01,F,5-14,Suppressed,2002,Census Region 1: Northeast,5-14 years
CENS-R1,2002/08,F,5-14,Suppressed,2002,Census Region 1: Northeast,5-14 years
CENS-R1,2002/11,F,5-14,Suppressed,2002,Census Region 1: Northeast,5-14 years
CENS-R1,2003/02,F,5-14,Suppressed,2003,Census Region 1: Northeast,5-14 years
CENS-R1,2003/10,F,5-14,Suppressed,2003,Census Region 1: Northeast,5-14 years
CENS-R1,2004/03,F,5-14,Suppressed,2004,Census Region 1: Northeast,5-14 years
CENS-R1,2004/06,F,5-14,Suppressed,2004,Census Region 1: Northeast,5-14 years
CENS-R1,2004/07,F,5-14,Suppressed,2004,Census Region 1: Northeast,5-14 years
CENS-R1,2004/08,F,5-14,Suppressed,2004,Census Region 1: Northeast,5-14 years
CENS-R1,2004/09,F,5-14,Suppressed,2004,Census Region 1: Northeast,5-14 years
CENS-R1,2004/10,F,5-14,Suppressed,2004,Census Region 1: Northeast,5-14 years
CENS-R1,2005/01,F,5-14,Suppressed,2005,Census Region 1: Northeast,5-14 years
CENS-R1,2005/12,F,5-14,Suppressed,2005,Census Region 1: Northeast,5-14 years
CENS-R1,2006/02,F,5-14,Suppressed,2006,Census Region 1: Northeast,5-14 years
CENS-R1,2006/06,F,5-14,Suppressed,2006,Census Region 1: Northeast,5-14 years
CENS-R1,2006/12,F,5-14,Suppressed,2006,Census Region 1: Northeast,5-14 years
CENS-R1,2007/05,F,5-14,Suppressed,2007,Census Region 1: Northeast,5-14 years
CENS-R1,2007/06,F,5-14,Suppressed,2007,Census Region 1: Northeast,5-14 years
CENS-R1,2007/08,F,5-14,Suppressed,2007,Census Region 1: Northeast,5-14 years
CENS-R1,2008/03,F,5-14,Suppressed,2008,Census Region 1: Northeast,5-14 years
CENS-R1,2008/05,F,5-14,Suppressed,2008,Census Region 1: Northeast,5-14 years
CENS-R1,2008/06,F,5-14,Suppressed,2008,Census Region 1: Northeast,5-14 years
CENS-R1,2008/10,F,5-14,Suppressed,2008,Census Region 1: Northeast,5-14 years
CENS-R1,2009/06,F,5-14,Suppressed,2009,Census Region 1: Northeast,5-14 years
CENS-R1,1999/01,F,15-24,2,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/02,F,15-24,8,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/03,F,15-24,6,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/04,F,15-24,6,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/05,F,15-24,9,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/06,F,15-24,8,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/07,F,15-24,8,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/08,F,15-24,7,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/09,F,15-24,4,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/10,F,15-24,7,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/11,F,15-24,9,1999,Census Region 1: Northeast,15-24 years
CENS-R1,1999/12,F,15-24,7,1999,Census Region 1: Northeast,15-24 years
CENS-R1,2000/01,F,15-24,6,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/02,F,15-24,7,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/03,F,15-24,7,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/04,F,15-24,10,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/05,F,15-24,4,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/06,F,15-24,6,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/07,F,15-24,5,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/08,F,15-24,6,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/09,F,15-24,4,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/10,F,15-24,10,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/11,F,15-24,7,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2000/12,F,15-24,9,2000,Census Region 1: Northeast,15-24 years
CENS-R1,2001/01,F,15-24,7,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/02,F,15-24,7,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/03,F,15-24,8,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/04,F,15-24,11,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/05,F,15-24,12,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/06,F,15-24,6,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/07,F,15-24,11,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/08,F,15-24,7,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/09,F,15-24,5,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/10,F,15-24,13,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/11,F,15-24,6,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2001/12,F,15-24,9,2001,Census Region 1: Northeast,15-24 years
CENS-R1,2002/01,F,15-24,9,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/02,F,15-24,5,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/03,F,15-24,11,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/04,F,15-24,18,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/05,F,15-24,11,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/06,F,15-24,10,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/07,F,15-24,7,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/08,F,15-24,5,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/09,F,15-24,11,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/10,F,15-24,14,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/11,F,15-24,5,2002,Census Region 1: Northeast,15-24 years
CENS-R1,2002/12,F,15-24,9,2002,Census Region 1: Northeast,15-24 years
