measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Kentucky,Both,15-19 years,Opioid use disorders,Rate,1990,0.5578641129578645,0.79592799769868,0.37599457998243174
Deaths,Kentucky,Both,20-24 years,Opioid use disorders,Rate,1990,1.4605654164692838,2.045009214804547,1.0366630162027413
Deaths,Kentucky,Both,25-29 years,Opioid use disorders,Rate,1990,2.144737784424298,3.066980964733574,1.4659850680187143
Deaths,Kentucky,Both,30-34 years,Opioid use disorders,Rate,1990,2.4498641166166997,3.391342302870919,1.6521202177906686
Deaths,Kentucky,Both,35-39 years,Opioid use disorders,Rate,1990,2.5343548698128777,3.5146813960734145,1.7938335399279304
Deaths,Kentucky,Both,40-44 years,Opioid use disorders,Rate,1990,2.2274590832626218,3.218484704012557,1.488320313790523
Deaths,Kentucky,Both,45-49 years,Opioid use disorders,Rate,1990,1.8168215905892946,2.488933143125171,1.2680816882773904
Deaths,Kentucky,Both,50-54 years,Opioid use disorders,Rate,1990,1.301688969719178,1.8425751774693628,0.9028942138302063
Deaths,Kentucky,Both,55-59 years,Opioid use disorders,Rate,1990,1.2546958997554891,1.7238333276401938,0.882031074502133
Deaths,Kentucky,Both,60-64 years,Opioid use disorders,Rate,1990,1.022621584469978,1.3255312519702038,0.7656842401833197
Deaths,West Virginia,Both,15-19 years,Opioid use disorders,Rate,1990,0.6014830721946945,0.8486547910618663,0.39498308645809976
Deaths,West Virginia,Both,20-24 years,Opioid use disorders,Rate,1990,1.443170836397906,2.00789740705802,1.0100952876233498
Deaths,West Virginia,Both,25-29 years,Opioid use disorders,Rate,1990,2.321084863732464,3.194430228490333,1.653083450843605
Deaths,West Virginia,Both,30-34 years,Opioid use disorders,Rate,1990,2.7030144836700996,3.700414491298535,1.8379539349972787
Deaths,West Virginia,Both,35-39 years,Opioid use disorders,Rate,1990,2.644155817432014,3.649488249390025,1.8262843730022102
Deaths,West Virginia,Both,40-44 years,Opioid use disorders,Rate,1990,2.1121428574224,2.9693746796739204,1.4555900516779157
Deaths,West Virginia,Both,45-49 years,Opioid use disorders,Rate,1990,1.8025753183748578,2.3680493675924996,1.3370298436265484
Deaths,West Virginia,Both,50-54 years,Opioid use disorders,Rate,1990,1.7226191075571442,2.2628433539565616,1.2743387549729182
Deaths,West Virginia,Both,55-59 years,Opioid use disorders,Rate,1990,1.4815927806074471,1.9656695230965526,1.094200388072414
Deaths,West Virginia,Both,60-64 years,Opioid use disorders,Rate,1990,1.2166920375307477,1.6268295168368037,0.9058874106486727
Deaths,California,Both,15-19 years,Opioid use disorders,Rate,1990,0.5814900500896626,0.8547652567404818,0.3799372233680092
Deaths,California,Both,20-24 years,Opioid use disorders,Rate,1990,2.6155857139159746,3.525381551934074,1.8867548702940415
Deaths,California,Both,25-29 years,Opioid use disorders,Rate,1990,5.619230131099235,7.446334302412443,4.082616599917381
Deaths,California,Both,30-34 years,Opioid use disorders,Rate,1990,7.953603092981981,10.409616764252977,5.878957110240694
Deaths,California,Both,35-39 years,Opioid use disorders,Rate,1990,9.21788860734128,11.925815294901984,7.018685158415285
Deaths,California,Both,40-44 years,Opioid use disorders,Rate,1990,7.58073711983394,10.063699004939354,5.563259867341442
Deaths,California,Both,45-49 years,Opioid use disorders,Rate,1990,5.075080962107203,6.74291127895372,3.733974636819511
Deaths,California,Both,50-54 years,Opioid use disorders,Rate,1990,3.136203895273425,4.200244606212774,2.3213286424046204
Deaths,California,Both,55-59 years,Opioid use disorders,Rate,1990,2.07316655207635,2.854682910586856,1.446870190222076
Deaths,California,Both,60-64 years,Opioid use disorders,Rate,1990,1.4561813018772563,1.9351780206647187,1.0847258277390488
Deaths,Ohio,Both,15-19 years,Opioid use disorders,Rate,1990,0.3703131480399406,0.5275613175718745,0.2568244637516355
Deaths,Ohio,Both,20-24 years,Opioid use disorders,Rate,1990,0.9572560775360126,1.287111196256501,0.6825837226531546
Deaths,Ohio,Both,25-29 years,Opioid use disorders,Rate,1990,1.9000005089111018,2.7176710682711476,1.2972497977107658
Deaths,Ohio,Both,30-34 years,Opioid use disorders,Rate,1990,2.3817178545219218,3.215714782617558,1.7178170562988013
Deaths,Ohio,Both,35-39 years,Opioid use disorders,Rate,1990,2.6674983742706324,3.6854037365127685,1.9149486147068422
