"","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"25",0.000765331718005309,0.000763913287793783,0.000742220356612737,0.000750831815939302,0.000746431828033977,0.000734545480036584,0.00073442150101157,0.000729913197401877,0.000712682818409016,0.000719621839112044,0.000721801680451625,0.000730925321131811,0.000743808201265287,0.00076259893924415,0.000790002294654881,0.00080293436690297,0.000801291201357116,0.000804145786436029,0.000963807279642145,0.00108008561174379,0.000937865395426876
"26",0.000775101210118507,0.000774444243175791,0.000752909826949927,0.000761511184106182,0.00075622178253591,0.00074521070634972,0.00074377136549352,0.000741140342416498,0.000724465370880114,0.000731813194412267,0.000735010352254752,0.000745877845393588,0.000760008287796986,0.00077785642226065,0.000804987341103216,0.00081908582583053,0.000819369770070737,0.000823669487260963,0.000983921543447656,0.00110098688450231,0.000960462871316326
"27",0.000793400294884532,0.000791806731298461,0.000769285894460753,0.000777149613220617,0.000772549671480837,0.00076080487376404,0.000759553981657658,0.000754870495682338,0.00073670041315849,0.000743072219615851,0.0007456633827072,0.000757233078455745,0.000770536839463937,0.000790446684192914,0.000819693928779075,0.000835668461562525,0.000838202933146612,0.000843353260242747,0.00100708681498808,0.00112617002726674,0.00098565337783887
"28",0.000841536850022467,0.000837251870981068,0.000810583181457603,0.000817022072446378,0.000808973163195646,0.00079583992738404,0.00079475822949737,0.000790490906299172,0.000772429430786422,0.000778422461011312,0.000781785368090768,0.000792431060679525,0.000806901248326605,0.000826698536337414,0.000857482208296391,0.000874338654916417,0.000876813212388217,0.0008831528181378,0.00105268548592869,0.00117614889695993,0.00103187451124882
"29",0.000831014660997527,0.000829420990425727,0.000804490784119919,0.00081012509945546,0.000803198809174352,0.000791232322867229,0.000790675309307298,0.000788438674450079,0.000770793421545551,0.000778720913362672,0.000783403106607613,0.000794838684687796,0.000810240352804172,0.000832391292161262,0.000862063547410641,0.000878250874685306,0.000881097411191408,0.000888629540042374,0.00106339688512764,0.00119121233747457,0.00104664607304937
"30",0.0008774749473922,0.000873908325838927,0.000844088611112584,0.000849771978066318,0.000839920825850813,0.000824696278938965,0.000823098687129932,0.000818496433523927,0.000800037878446917,0.000807566874684367,0.00081148753372668,0.000823706187047628,0.000837824799466824,0.000859263094235717,0.000890141913530065,0.000905914794470134,0.000909637122360584,0.000917942255949503,0.00109920936215053,0.00123204537054159,0.00108288346443746
"31",0.000946906685285234,0.000942730576732804,0.000912313304235262,0.000917669605660156,0.000907837289617935,0.000890514806981561,0.000886849195191954,0.000880387565435732,0.000859030424668202,0.000866408241773492,0.000868905948785895,0.000880157623737926,0.000895737044720647,0.000917115640137783,0.000948738103046704,0.000965111965020677,0.000965944549463872,0.00097322980993423,0.00116181261021728,0.0013007790247725,0.00114502350250899
"32",0.000996265793890734,0.000990931983653702,0.000960239963372825,0.000966062451675139,0.000952930665162943,0.000933010747470466,0.000927089563786678,0.000919224301196997,0.000896163023220673,0.000903145467631668,0.000903735395458153,0.00091453265494903,0.000929744092072734,0.000952961366166659,0.000986284127304251,0.00100345973594142,0.00100431088214774,0.00101045338353649,0.0012096076862337,0.00135730503511601,0.00119244792164034
"33",0.00106244084727749,0.00105751509899413,0.00102215661207439,0.00102632809239297,0.00101182687566067,0.00098973330870666,0.000982514872088273,0.000973476727645271,0.000947121109070581,0.000952978191669521,0.000953874134408788,0.000965315468108447,0.000980553938465488,0.00100397054429602,0.00103720652562632,0.00105461939073748,0.00105444539334686,0.00106134694779662,0.00127135908692906,0.00142712775693375,0.00125249321856306
"34",0.00109266766315923,0.0010874903827799,0.00105300186418763,0.00105824504027079,0.00104473477324961,0.00102359918402165,0.00101642819459966,0.00100750691733057,0.000979143333618705,0.000985230030253107,0.000985732032559173,0.000998265856473233,0.00101560117922286,0.00103976571758378,0.00107525901303592,0.00109292614033825,0.00109175692290006,0.00109819790114602,0.00131912587867499,0.00148353447324352,0.00129671909011264
